header,title,titleUrl,time,products,details,activityControls,subtitles,description,timestamp,date,hour,day_of_week,channel,video_title,activity_type,cleaned_channel,focus_category,is_edu_watch
YouTube,Watched Don’t judge by first Looks 👀👮‍♂️| IAS interview #ias #upsc #motivation,https://www.youtube.com/watch?v=rMRRMU0QesQ,2026-06-13T10:37:47.069Z,['YouTube'],,['YouTube watch history'],"[{'name': 'IAS Ignitia', 'url': 'https://www.youtube.com/channel/UC1xTxWLE_0HLdQQyjl5fdyg'}]",,2026-06-13 10:37:47.069000+00:00,2026-06-13,10,Saturday,IAS Ignitia,Watched Don’t judge by first Looks 👀👮‍♂️| IAS interview #ias #upsc #motivation,Video,,Education & Exam Prep,1
YouTube,Watched Tricky Question 🥵 Upsc Mock Interview ||,https://www.youtube.com/watch?v=85reujkMUMg,2026-06-13T10:36:44.375Z,['YouTube'],,['YouTube watch history'],"[{'name': 'I.A.S Journey', 'url': 'https://www.youtube.com/channel/UC3LJGnFucZ4lIsGbi3q-rig'}]",,2026-06-13 10:36:44.375000+00:00,2026-06-13,10,Saturday,I.A.S Journey,Watched Tricky Question 🥵 Upsc Mock Interview ||,Video,,Education & Exam Prep,1
YouTube,Watched दिव्या पहले से ही Ips हैं#upsc #civilserviceexam #ias #education #cse#youtubeshorts,https://www.youtube.com/watch?v=w3jxYkvuwYo,2026-06-13T10:35:49.135Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Be Sparkling', 'url': 'https://www.youtube.com/channel/UCPiAxwIYSIiLXyy6P2hZ8vw'}]",,2026-06-13 10:35:49.135000+00:00,2026-06-13,10,Saturday,Be Sparkling,Watched दिव्या पहले से ही Ips हैं#upsc #civilserviceexam #ias #education #cse#youtubeshorts,Video,,Education & Exam Prep,1
YouTube,Watched Excellent Candidate ✨ Into Upsc Mock Interview Feedback 🤷 #upsc #motivation,https://www.youtube.com/watch?v=nUp2BhMix28,2026-06-13T10:35:24.953Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Lakhu Edify', 'url': 'https://www.youtube.com/channel/UCWeytwC0XWhowP02Qg01tDQ'}]",,2026-06-13 10:35:24.953000+00:00,2026-06-13,10,Saturday,Lakhu Edify,Watched Excellent Candidate ✨ Into Upsc Mock Interview Feedback 🤷 #upsc #motivation,Video,,Data Science & Tech,1
YouTube,Watched All India Rank 16 / Upsc Interview / Intense Motivation,https://www.youtube.com/watch?v=921g3Urv7ls,2026-06-13T10:34:28.530Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Intense Motivation', 'url': 'https://www.youtube.com/channel/UC-5lgZLGOB1p_XbZkZefiYA'}]",,2026-06-13 10:34:28.530000+00:00,2026-06-13,10,Saturday,Intense Motivation,Watched All India Rank 16 / Upsc Interview / Intense Motivation,Video,,Education & Exam Prep,1
YouTube,Watched Tricky Question | Watch Till End 😝 UPSC Interview ||,https://www.youtube.com/watch?v=aiQImx8e7Pc,2026-06-13T10:34:01.824Z,['YouTube'],,['YouTube watch history'],"[{'name': 'I.A.S Journey', 'url': 'https://www.youtube.com/channel/UC3LJGnFucZ4lIsGbi3q-rig'}]",,2026-06-13 10:34:01.824000+00:00,2026-06-13,10,Saturday,I.A.S Journey,Watched Tricky Question | Watch Till End 😝 UPSC Interview ||,Video,,Education & Exam Prep,1
YouTube,Watched The whole upsc panel got impressed🧠😎 | Akshat Jain 🔥👮 | IAS mock interview,https://www.youtube.com/watch?v=-s_20SpNzhs,2026-06-13T10:33:37.169Z,['YouTube'],,['YouTube watch history'],"[{'name': 'IAS Spirit', 'url': 'https://www.youtube.com/channel/UCdxip8K3yeC5aba3qggsLXw'}]",,2026-06-13 10:33:37.169000+00:00,2026-06-13,10,Saturday,IAS Spirit,Watched The whole upsc panel got impressed🧠😎 | Akshat Jain 🔥👮 | IAS mock interview,Video,,Data Science & Tech,1
YouTube,Watched Bro This is  not political Rally🔥🔥#ias #ips #success #motivation #explore #shorts #ytshorts,https://www.youtube.com/watch?v=AzBc8RTS0X4,2026-06-13T10:33:16.728Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Aman Soni', 'url': 'https://www.youtube.com/channel/UCsempNd5Yzw6dbaNAg51cLw'}]",,2026-06-13 10:33:16.728000+00:00,2026-06-13,10,Saturday,Aman Soni,Watched Bro This is  not political Rally🔥🔥#ias #ips #success #motivation #explore #shorts #ytshorts,Video,,Education & Exam Prep,1
YouTube,"Watched ""Bro got grilled before the interview even started"" 🥶🔥💀| Deepak Vohra Sir | UPSC Interview #ias",https://www.youtube.com/watch?v=c_ZOieW6Dsk,2026-06-13T10:32:21.832Z,['YouTube'],,['YouTube watch history'],"[{'name': 'UPSC Girlie', 'url': 'https://www.youtube.com/channel/UC5yNXTNkE8Fb9dPIw77PIJQ'}]",,2026-06-13 10:32:21.832000+00:00,2026-06-13,10,Saturday,UPSC Girlie,"Watched ""Bro got grilled before the interview even started"" 🥶🔥💀| Deepak Vohra Sir | UPSC Interview #ias",Video,,Education & Exam Prep,1
YouTube,Watched तुझे सरकारी नौकरी क्यों चाहिए?🎯🔥#motivation #governmentjobs #gyansir #uppcs #uppsc #upsc  #shrots,https://www.youtube.com/watch?v=FqnoJO-_JQI,2026-06-13T10:32:01.507Z,['YouTube'],,['YouTube watch history'],"[{'name': 'study for civil services 2.0', 'url': 'https://www.youtube.com/channel/UC3GU7dT--wfRS_0_m0k3Zzg'}]",,2026-06-13 10:32:01.507000+00:00,2026-06-13,10,Saturday,study for civil services 2.0,Watched तुझे सरकारी नौकरी क्यों चाहिए?🎯🔥#motivation #governmentjobs #gyansir #uppcs #uppsc #upsc  #shrots,Video,,Education & Exam Prep,1
YouTube,Watched Wait For End😆🤣 | Upsc Interview #upsc #ias #motivation,https://www.youtube.com/watch?v=XZ1PWT9sPcw,2026-06-13T10:31:20.782Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Therealshorts007', 'url': 'https://www.youtube.com/channel/UCSzmvFiIUnArznCpaICezhw'}]",,2026-06-13 10:31:20.782000+00:00,2026-06-13,10,Saturday,Therealshorts007,Watched Wait For End😆🤣 | Upsc Interview #upsc #ias #motivation,Video,,Data Science & Tech,1
YouTube,Watched Sir Got Angry on Her🤯🥶🤦‍♂️ Vaishnavi | Upsc Interview #upsc #ias #motivation,https://www.youtube.com/watch?v=slF12efKlgg,2026-06-13T10:30:35.312Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Therealshorts007', 'url': 'https://www.youtube.com/channel/UCSzmvFiIUnArznCpaICezhw'}]",,2026-06-13 10:30:35.312000+00:00,2026-06-13,10,Saturday,Therealshorts007,Watched Sir Got Angry on Her🤯🥶🤦‍♂️ Vaishnavi | Upsc Interview #upsc #ias #motivation,Video,,Data Science & Tech,1
YouTube,Watched Her Swag is Unmatched 🔥 UPSC Motivation | UPSC Interview | IAS Status,https://www.youtube.com/watch?v=-YFSWDnh-ak,2026-06-13T10:30:33.372Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Untold Scope', 'url': 'https://www.youtube.com/channel/UCGx2xPrn9Ss7QK-P5vmH04A'}]",,2026-06-13 10:30:33.372000+00:00,2026-06-13,10,Saturday,Untold Scope,Watched Her Swag is Unmatched 🔥 UPSC Motivation | UPSC Interview | IAS Status,Video,,Education & Exam Prep,1
YouTube,Watched When you reach at highest level of IAS 🔥🔥☠️☠️#ias #ips #study #india #upsc #explore #viral #ytshorts,https://www.youtube.com/watch?v=pu5IjULm5RQ,2026-06-13T10:30:21.132Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Aman Soni', 'url': 'https://www.youtube.com/channel/UCsempNd5Yzw6dbaNAg51cLw'}]",,2026-06-13 10:30:21.132000+00:00,2026-06-13,10,Saturday,Aman Soni,Watched When you reach at highest level of IAS 🔥🔥☠️☠️#ias #ips #study #india #upsc #explore #viral #ytshorts,Video,,Education & Exam Prep,1
YouTube,Watched Avoid this mistake to get selected ❌ | UPSC Interview,https://www.youtube.com/watch?v=AKZCvvp8IFI,2026-06-13T10:29:38.947Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Civispire', 'url': 'https://www.youtube.com/channel/UC5vUp1aZ-8Vo2KHM7b_CKdA'}]",,2026-06-13 10:29:38.947000+00:00,2026-06-13,10,Saturday,Civispire,Watched Avoid this mistake to get selected ❌ | UPSC Interview,Video,,Education & Exam Prep,1
YouTube,Watched Engineer Couldn’t Answer What GPT Is 😳,https://www.youtube.com/watch?v=Zs586cFNMX4,2026-06-13T10:28:58.277Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Civispire', 'url': 'https://www.youtube.com/channel/UC5vUp1aZ-8Vo2KHM7b_CKdA'}]",,2026-06-13 10:28:58.277000+00:00,2026-06-13,10,Saturday,Civispire,Watched Engineer Couldn’t Answer What GPT Is 😳,Video,,General Entertainment / Other,0
YouTube,Watched Funny Interview 🤑🤪🤠|Upsc Mock Interview|| Upsc Motivation #upsc #upscmotivation #shorts,https://www.youtube.com/watch?v=psQEd2R2vaU,2026-06-13T10:28:31.203Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Facing the Panel', 'url': 'https://www.youtube.com/channel/UCOz8fkH0wze98s74F6u5SKw'}]",,2026-06-13 10:28:31.203000+00:00,2026-06-13,10,Saturday,Facing the Panel,Watched Funny Interview 🤑🤪🤠|Upsc Mock Interview|| Upsc Motivation #upsc #upscmotivation #shorts,Video,,Education & Exam Prep,1
YouTube,Watched Caught Cheating in Exam 😳 | Her Response Will Surprise You!,https://www.youtube.com/watch?v=Z5i3BW6CbhE,2026-06-13T10:27:00.092Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Civispire', 'url': 'https://www.youtube.com/channel/UC5vUp1aZ-8Vo2KHM7b_CKdA'}]",,2026-06-13 10:27:00.092000+00:00,2026-06-13,10,Saturday,Civispire,Watched Caught Cheating in Exam 😳 | Her Response Will Surprise You!,Video,,Education & Exam Prep,1
YouTube,Watched Principal Power 🔥 | Ek Faisla Jo Sab Badal De!💪#vairal #civilserviceexam #education #collector#short,https://www.youtube.com/watch?v=Us0ljnN6JvY,2026-06-13T10:24:18.003Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Success True Fact ', 'url': 'https://www.youtube.com/channel/UC1E7RyMw8dTRM5Yog_AvpWQ'}]",,2026-06-13 10:24:18.003000+00:00,2026-06-13,10,Saturday,Success True Fact ,Watched Principal Power 🔥 | Ek Faisla Jo Sab Badal De!💪#vairal #civilserviceexam #education #collector#short,Video,,Data Science & Tech,1
YouTube,Watched Harness Engineering AI Interview Question. #artificialintelligence #interviewpreparation,https://www.youtube.com/watch?v=0I14XDcSeH4,2026-06-13T10:24:16.967Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Rajeev Kanth | BEPEC', 'url': 'https://www.youtube.com/channel/UCn1USB9-5UqKJTSHd1JGcVw'}]",,2026-06-13 10:24:16.967000+00:00,2026-06-13,10,Saturday,Rajeev Kanth | BEPEC,Watched Harness Engineering AI Interview Question. #artificialintelligence #interviewpreparation,Video,,Data Science & Tech,1
YouTube,Watched 35 ईंटें उठाने वाले आदमी ने सबको चौंका दिया! #shorts,https://www.youtube.com/watch?v=_RaE-jWD_Yc,2026-06-13T10:24:10.227Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Movie Insights ', 'url': 'https://www.youtube.com/channel/UCTjSrPlnNJYthrNyj7aodOw'}]",,2026-06-13 10:24:10.227000+00:00,2026-06-13,10,Saturday,Movie Insights ,Watched 35 ईंटें उठाने वाले आदमी ने सबको चौंका दिया! #shorts,Video,,General Entertainment / Other,0
YouTube,Watched #funnyexpression,https://www.youtube.com/watch?v=Tzjmd9xX1wg,2026-06-13T10:23:14.037Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Apna Trend', 'url': 'https://www.youtube.com/channel/UCPIJaeEA3Ybvw0XjjaVLdGA'}]",,2026-06-13 10:23:14.037000+00:00,2026-06-13,10,Saturday,Apna Trend,Watched #funnyexpression,Video,,General Entertainment / Other,0
YouTube,Watched Don’t cheat 👏#viral #shortvideo,https://www.youtube.com/watch?v=txi2oE0ozew,2026-06-13T10:22:29.377Z,['YouTube'],,['YouTube watch history'],"[{'name': 'L FILM', 'url': 'https://www.youtube.com/channel/UC45kNvRDodMYCDrqZkoejlA'}]",,2026-06-13 10:22:29.377000+00:00,2026-06-13,10,Saturday,L FILM,Watched Don’t cheat 👏#viral #shortvideo,Video,,General Entertainment / Other,0
YouTube,Watched premanand jii 🌸🙌🏻.        #premanandjipravachan #premanandjimaharaj #motivation,https://www.youtube.com/watch?v=AWUkWRdxk-o,2026-06-13T10:22:28.407Z,['YouTube'],,['YouTube watch history'],"[{'name': '@onlyshorts_120', 'url': 'https://www.youtube.com/channel/UCjj8MOVpzndSMLA866QU5VQ'}]",,2026-06-13 10:22:28.407000+00:00,2026-06-13,10,Saturday,@onlyshorts_120,Watched premanand jii 🌸🙌🏻.        #premanandjipravachan #premanandjimaharaj #motivation,Video,,General Entertainment / Other,0
YouTube,Watched Ave Garibo Barat Mein Aaye Ho Kya Bola Tha Kam Khana 🔥 Gutar Gu 😡 Edit 💥 #shorts #viral,https://www.youtube.com/watch?v=L0xlXOsPbkw,2026-06-13T10:21:28.913Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Viyogi 4k Edits', 'url': 'https://www.youtube.com/channel/UCbn0Hye_yWvDhAzgAZIPdNA'}]",,2026-06-13 10:21:28.913000+00:00,2026-06-13,10,Saturday,Viyogi 4k Edits,Watched Ave Garibo Barat Mein Aaye Ho Kya Bola Tha Kam Khana 🔥 Gutar Gu 😡 Edit 💥 #shorts #viral,Video,,General Entertainment / Other,0
YouTube,Watched BOND 🤗❤️ #bond #love #emotional #bloodrelation #brother #sister #ananthoughtofficial,https://www.youtube.com/watch?v=9ZhH0bHVWrg,2026-06-13T10:20:59.079Z,['YouTube'],,['YouTube watch history'],"[{'name': '@ananthought ', 'url': 'https://www.youtube.com/channel/UCjADXIPvyZxP0zg8kChR3Ng'}]",,2026-06-13 10:20:59.079000+00:00,2026-06-13,10,Saturday,@ananthought ,Watched BOND 🤗❤️ #bond #love #emotional #bloodrelation #brother #sister #ananthoughtofficial,Video,,General Entertainment / Other,0
YouTube,Watched 🎀The match🤌🏻#Hinduism #Spirituality #BhaktiYoga #AdvaitaVedanta #DailySpiritual #trending,https://www.youtube.com/watch?v=UjwVLN4_Krs,2026-06-13T10:20:56.827Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Bhavana Tyagi ', 'url': 'https://www.youtube.com/channel/UCl-roLp1oSijrxCrhHumIMg'}]",,2026-06-13 10:20:56.827000+00:00,2026-06-13,10,Saturday,Bhavana Tyagi ,Watched 🎀The match🤌🏻#Hinduism #Spirituality #BhaktiYoga #AdvaitaVedanta #DailySpiritual #trending,Video,,Data Science & Tech,1
YouTube,Watched Commissioner koun hai tere || Shrikant Tiwari || The Family Man ||#cinemacuts,https://www.youtube.com/watch?v=LDQNm21WQpk,2026-06-13T10:20:52.649Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Cinema Cuts', 'url': 'https://www.youtube.com/channel/UCofM02r7bHzc27SdgRP3rog'}]",,2026-06-13 10:20:52.649000+00:00,2026-06-13,10,Saturday,Cinema Cuts,Watched Commissioner koun hai tere || Shrikant Tiwari || The Family Man ||#cinemacuts,Video,,Data Science & Tech,1
YouTube,Watched This Is Why EXPERIENCE Still Beats EVERYTHING 🚫,https://www.youtube.com/watch?v=pAskAXQg6MY,2026-06-13T10:19:44.352Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Infinite Wealth Lab', 'url': 'https://www.youtube.com/channel/UCGD0t_2Dtr1VaxkayI6djow'}]",,2026-06-13 10:19:44.352000+00:00,2026-06-13,10,Saturday,Infinite Wealth Lab,Watched This Is Why EXPERIENCE Still Beats EVERYTHING 🚫,Video,,General Entertainment / Other,0
YouTube,Watched Queen Sacrifice Leads to a Queen Rebirth 🐦‍🔥 | Endless Check ✅ | Chess Shan #comedy #funny #lol,https://www.youtube.com/watch?v=a7wV4n7_eMY,2026-06-13T10:19:42.588Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Chess Shan', 'url': 'https://www.youtube.com/channel/UC4m-Ikk8zR2yTgJ6k4DZ43w'}]",,2026-06-13 10:19:42.588000+00:00,2026-06-13,10,Saturday,Chess Shan,Watched Queen Sacrifice Leads to a Queen Rebirth 🐦‍🔥 | Endless Check ✅ | Chess Shan #comedy #funny #lol,Video,,General Entertainment / Other,0
YouTube,Watched Others Fixing Dent vs Last One 💀,https://www.youtube.com/watch?v=_VhFjhXSVcg,2026-06-13T10:19:35.686Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Sajjad Ali Albaloxhi ', 'url': 'https://www.youtube.com/channel/UCdsFn4AFF0UqYT-pj69VlZA'}]",,2026-06-13 10:19:35.686000+00:00,2026-06-13,10,Saturday,Sajjad Ali Albaloxhi ,Watched Others Fixing Dent vs Last One 💀,Video,,General Entertainment / Other,0
YouTube,Watched Principal Power 🔥|| Ek Faisla Jo Sab Badal De!💪 Part -2 #education #principal #shorts,https://www.youtube.com/watch?v=hidy5ttsEB8,2026-06-13T10:17:59.074Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Success True Fact ', 'url': 'https://www.youtube.com/channel/UC1E7RyMw8dTRM5Yog_AvpWQ'}]",,2026-06-13 10:17:59.074000+00:00,2026-06-13,10,Saturday,Success True Fact ,Watched Principal Power 🔥|| Ek Faisla Jo Sab Badal De!💪 Part -2 #education #principal #shorts,Video,,Data Science & Tech,1
YouTube,Watched mamma aap mat chalo yarr 😍🤌🏻#kaffara #ytshorts #fypシ #explore #bematured #mom,https://www.youtube.com/watch?v=xgE4fxSOIRU,2026-06-13T10:16:59.703Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Hania Editzz', 'url': 'https://www.youtube.com/channel/UCQbWquYlirvzVTWDuUsLrWg'}]",,2026-06-13 10:16:59.703000+00:00,2026-06-13,10,Saturday,Hania Editzz,Watched mamma aap mat chalo yarr 😍🤌🏻#kaffara #ytshorts #fypシ #explore #bematured #mom,Video,,General Entertainment / Other,0
YouTube,Watched She is faster than a calculator,https://www.youtube.com/watch?v=UYGXv3Ft_8Y,2026-06-13T10:15:47.671Z,['YouTube'],,['YouTube watch history'],"[{'name': 'TheWealthrive', 'url': 'https://www.youtube.com/channel/UCfVk2n2RRz-t7SLm2Dgkujw'}]",,2026-06-13 10:15:47.671000+00:00,2026-06-13,10,Saturday,TheWealthrive,Watched She is faster than a calculator,Video,,General Entertainment / Other,0
YouTube,Watched The Job Trap. 🕸️ #job #shortvideo #unemployment #mindsetmatters #rajshamani #podcastclips,https://www.youtube.com/watch?v=HHYkrmNUu18,2026-06-13T10:14:54.655Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Motivation', 'url': 'https://www.youtube.com/channel/UCpte5p-KCwgKq2uhpl0HmHA'}]",,2026-06-13 10:14:54.655000+00:00,2026-06-13,10,Saturday,Motivation,Watched The Job Trap. 🕸️ #job #shortvideo #unemployment #mindsetmatters #rajshamani #podcastclips,Video,,General Entertainment / Other,0
YouTube,Watched AI CH P3 431 UV 9×16,https://www.youtube.com/watch?v=ExlWug0MX_A,2026-06-13T10:14:53.057Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history']",,,2026-06-13 10:14:53.057000+00:00,2026-06-13,10,Saturday,Unknown,Watched AI CH P3 431 UV 9×16,Video,Youtube Shorts / Unlisted,Data Science & Tech,1
YouTube,Watched He invented spicy potato chips and became a corporate executive #movie #movie #film #viral #shorts,https://www.youtube.com/watch?v=AHHUChv6uB4,2026-06-13T10:14:50.587Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Continue', 'url': 'https://www.youtube.com/channel/UC93zYS9nJJcvcng-E2xKegw'}]",,2026-06-13 10:14:50.587000+00:00,2026-06-13,10,Saturday,Continue,Watched He invented spicy potato chips and became a corporate executive #movie #movie #film #viral #shorts,Video,,General Entertainment / Other,0
YouTube,Watched Exploding Eggshells is Actually Useful?,https://www.youtube.com/watch?v=iQfvcCMrtcQ,2026-06-13T10:13:34.339Z,['YouTube'],,['YouTube watch history'],"[{'name': 'MrGreenGuy', 'url': 'https://www.youtube.com/channel/UCP2cNcC-2pqDRCFeFO4JLLw'}]",,2026-06-13 10:13:34.339000+00:00,2026-06-13,10,Saturday,MrGreenGuy,Watched Exploding Eggshells is Actually Useful?,Video,,General Entertainment / Other,0
YouTube,"Watched Virasat Bhi Vikas Bhi: 12 Years of Transformation, Trust & Nation Building",https://www.youtube.com/watch?v=N74242XrINg,2026-06-13T10:13:33.200Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history']",,,2026-06-13 10:13:33.200000+00:00,2026-06-13,10,Saturday,Unknown,"Watched Virasat Bhi Vikas Bhi: 12 Years of Transformation, Trust & Nation Building",Video,Youtube Shorts / Unlisted,General Entertainment / Other,0
YouTube,Watched Be Brave 👏#viral #shortvideo,https://www.youtube.com/watch?v=I0e-tDDQX9k,2026-06-13T10:12:47.988Z,['YouTube'],,['YouTube watch history'],"[{'name': 'L FILM', 'url': 'https://www.youtube.com/channel/UC45kNvRDodMYCDrqZkoejlA'}]",,2026-06-13 10:12:47.988000+00:00,2026-06-13,10,Saturday,L FILM,Watched Be Brave 👏#viral #shortvideo,Video,,General Entertainment / Other,0
